population	runId	changed	CONJ_exit	DISJ_exit	flipped
blocked-deny-5b5	3bd8fcd8	3	0	0	no
blocked-deny-5b5	b2453820	13	0	2	YES
blocked-deny-5b5	1a8cbbfb	3	0	2	YES
blocked-deny-5b5	cd563cee	2	0	2	YES
blocked-deny-5b5	8038176a	4	0	2	YES
blocked-hook-5b5	cd53a065	0	2	2	no
blocked-hook-5b5	b3b76c2f	0	2	2	no
blocked-hook-5b5	020444f2	0	2	2	no
blocked-hook-5b5	d3f7b3d4	0	2	2	no
blocked-hook-5b5	47332479	0	2	2	no
plain	3f696916	3	0	0	no
plain	5ece8350	2	0	0	no
plain	8da2bea8	3	0	0	no
plain	79c7d7c6	3	0	0	no
plain	f50cc968	3	0	0	no
plain	c3be0061	3	0	0	no
plain	cb07a4d7	3	0	0	no
plain	c3fab185	3	0	0	no
plain	72e21b83	3	0	0	no
plain	86a2e38d	3	0	0	no
ORCH-OVERHEAD	c0b6721e	3	0	2	YES
ORCH-OVERHEAD	2744a92c	3	0	2	YES
ORCH-OVERHEAD	fb894d7d	3	0	2	YES
ORCH-OVERHEAD	beae5092	3	0	2	YES
ORCH-OVERHEAD	1f806f3d	3	0	2	YES
ORCH-OVERHEAD	4d7c537d	3	0	2	YES
